KJCT        |-         |DT |7   |DA  |                    |2  |-  |LIC    |GRAND JUNCTION           |CO |US |BLCDT  -20060623AAN |9.7    kW |-         |892.0   |-       |52593      |N |39 |2  |55.00 |W |108 |15 |6.00  |PIKES PEAK TELEVISION, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |3052.  m|H       |30167     |0.      |-       |28.     |1134441   |
WJLA-TV     |-         |DT |7   |ND  |                    |1  |-  |LIC    |WASHINGTON               |DC |US |BLCDT  -20090615ABY |30.    kW |-         |235.0   |-       |1051       |N |38 |57 |1.00  |W |77  |4  |47.00 |ACC LICENSEE, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |308.9  m|H       |87789     |-       |1051670 |184.    |1378175   |
WFLA-TV     |-         |DT |7   |ND  |                    |3  |-  |LIC    |TAMPA                    |FL |US |BLCDT  -19991110AAS |19.    kW |-         |465.0   |-       |64592      |N |27 |50 |32.00 |W |82  |15 |45.00 |MEDIA GENERAL COMMUNICATIONS HOLDINGS, LLC                                  |   0.00 km |   0.00 mi |  0.00 deg |486.   m|H       |30367     |-       |1028292 |463.    |428324    |
WMUM-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |COCHRAN                  |GA |US |BLEDT  -20080423AAM |31.    kW |-         |331.6   |-       |23935      |N |32 |28 |11.00 |W |83  |15 |17.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |436.1  m|H       |84608     |-       |1018798 |320.    |1243902   |
KAII-TV     |-         |DT |7   |DA  |                    |2  |-  |LIC    |WAILUKU                  |HI |US |BLCDT  -20090126ADW |3.69   kW |-         |753.0   |-       |4145       |N |20 |39 |37.00 |W |156 |21 |46.00 |NVT HAWAII LICENSEE, LLC                                                    |   0.00 km |   0.00 mi |  0.00 deg |1410.  m|H       |89841     |0.      |-       |49.     |1291198   |
KTVB        |-         |DT |7   |ND  |                    |2  |-  |LIC    |BOISE                    |ID |US |BLCDT  -20090612AJF |27.    kW |-         |806.0   |-       |34858      |N |43 |45 |16.00 |W |116 |5  |56.00 |KING BROADCASTING COMPANY                                                   |   0.00 km |   0.00 mi |  0.00 deg |2185.5 m|H       |87167     |-       |1213659 |57.5    |1294294   |
WEHT        |-         |DT |7   |ND  |                    |1  |-  |LIC    |EVANSVILLE               |IN |US |BLCDT  -20090928AKE |12.5   kW |-         |316.0   |-       |24215      |N |37 |51 |56.00 |W |87  |34 |4.00  |GILMORE BROADCASTING CORPORATION                                            |   0.00 km |   0.00 mi |  0.00 deg |433.4  m|C       |87784     |-       |1042028 |292.9   |1334000   |
KWWL        |-         |DT |7   |ND  |                    |2  |-  |LIC    |WATERLOO                 |IA |US |BLCDT  -20090513AFP |30.    kW |-         |601.0   |-       |593        |N |42 |24 |2.00  |W |91  |50 |36.00 |KWWL TELEVISION, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |886.7  m|H       |87402     |-       |1025917 |588.    |1311183   |
WLJC-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |BEATTYVILLE              |KY |US |BLCDT  -20090220ACR |70.    kW |-         |321.5   |-       |27696      |N |37 |36 |47.00 |W |83  |40 |18.00 |HOUR OF HARVEST, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |595.   m|H       |87206     |-       |1227743 |296.3   |1296858   |
WVII-TV     |-         |DT |7   |ND  |                    |1  |-  |LIC    |BANGOR                   |ME |US |BLCDT  -20090225AAR |14.    kW |-         |229.0   |-       |3667       |N |44 |45 |35.00 |W |68  |34 |1.00  |BANGOR COMMUNICATIONS, LLC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |324.   m|H       |90332     |-       |-       |20.     |1295665   |
WOOD-TV     |-         |DT |7   |ND  |                    |1  |-  |LIC    |GRAND RAPIDS             |MI |US |BLCDT  -20040625ABO |30.    kW |-         |288.0   |-       |36838      |N |42 |41 |14.00 |W |85  |30 |34.00 |WOOD LICENSE COMPANY, LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |530.   m|H       |45938     |-       |1236861 |279.    |999571    |
WJBK        |-         |DT |7   |DA  |                    |1  |-  |LIC    |DETROIT                  |MI |US |BLCDT  -20090813ABG |27.2   kW |-         |314.0   |-       |73123      |N |42 |27 |38.00 |W |83  |12 |50.00 |NEW WORLD COMMUNICATIONS OF DETROIT, INC.                                   |   0.00 km |   0.00 mi |  0.00 deg |520.4  m|C       |90122     |0.      |1000069 |315.    |1326748   |
KHQA-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |HANNIBAL                 |MO |US |BLCDT  -20090622AFC |13.6   kW |-         |271.0   |-       |4690       |N |39 |58 |22.00 |W |91  |19 |54.00 |BARRINGTON QUINCY LICENSE LLC                                               |   0.00 km |   0.00 mi |  0.00 deg |461.4  m|H       |85482     |-       |1009005 |235.    |1318841   |
KDUH-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |SCOTTSBLUFF              |NE |US |BLCDT  -20050914AAH |32.    kW |-         |475.0   |-       |17683      |N |41 |50 |28.00 |W |103 |4  |27.00 |DUHAMEL BROADCASTING ENTERPRISES                                            |   0.00 km |   0.00 mi |  0.00 deg |1742.4 m|H       |46283     |-       |1238064 |440.4   |1094543   |
